full_text_final_entire,type_taegyoon,type_drew,stance_taegyoon,stance_drew,stance_final,stance_binary_pro_rest_taegyoon,stance_binary_pro_rest_drew,stance_binary_anti_rest_taegyoon,stance_binary_anti_rest_drew
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
,Unrelated,Unrelated,9,9,9,9,9,9,9
